heading,sender_name,sender_email,content,target
new assign lab7,santosh dodhi classroom,no-reply@classroom.google.com,notif set itp lab 2023 cse new assign lab7 submiss format cs23b10xxp1c xx refer roll number see detail post 1142 nov 25 ist santosh dodhi googl llc 1600 amphitheatr parkway mountain view ca 94043 usa email sent indic youd like receiv email notif googl classroom dont want receiv email like unsubscrib chang set,1
new assign lab7,santosh dodhi classroom,no-reply@classroom.google.com,notif set itp lab 2023 cse new assign lab7 submiss format cs23b10xxp1c xx refer roll number see detail post 1142 nov 25 ist santosh dodhi googl llc 1600 amphitheatr parkway mountain view ca 94043 usa email sent indic youd like receiv email notif googl classroom dont want receiv email like unsubscrib chang set,1
new assign lab7,santosh dodhi classroom,no-reply@classroom.google.com,notif set itp lab 2023 cse new assign lab7 submiss format cs23b10xxp1c xx refer roll number see detail post 1142 nov 25 ist santosh dodhi googl llc 1600 amphitheatr parkway mountain view ca 94043 usa email sent indic youd like receiv email notif googl classroom dont want receiv email like unsubscrib chang set,1
new assign lab7,santosh dodhi classroom,no-reply@classroom.google.com,notif set itp lab 2023 cse new assign lab7 submiss format cs23b10xxp1c xx refer roll number see detail post 1142 nov 25 ist santosh dodhi googl llc 1600 amphitheatr parkway mountain view ca 94043 usa email sent indic youd like receiv email notif googl classroom dont want receiv email like unsubscrib chang set,1
document share book report,santosh dodhi via googl doc,drive-shares-dm-noreply@google.com,,1
urgent submiss elect prefer next semest,academ secretari,academic_secretary@iiitr.ac.in,form submiss date extend till 28th nov 400 pm plea fill form accordingli,1
new announc dear student kindli come,neha agarw classroom,no-reply@classroom.google.com,notif set nlp elect new announc dear student kindli come calcul tomorrow exam see detail post 726 pm nov 24 ist neha agarw googl llc 1600 amphitheatr parkway mountain view ca 94043 usa email sent indic youd like receiv email notif googl classroom dont want receiv email like unsubscrib chang set,1
regard project final evalu,,no-reply@classroom.google.com,,1
new assign end sem,anubhav singh classroom,no-reply@classroom.google.com,notif set daa lab batch 2022 3rd sem new assign end sem see detail post 533 pm nov 24 ist anubhav singh googl llc 1600 amphitheatr parkway mountain view ca 94043 usa email sent indic youd like receiv email notif googl classroom dont want receiv email like unsubscrib chang set,1
new assign end sem,anubhav singh classroom,no-reply@classroom.google.com,notif set daa lab batch 2022 3rd sem new assign end sem see detail post 533 pm nov 24 ist anubhav singh googl llc 1600 amphitheatr parkway mountain view ca 94043 usa email sent indic youd like receiv email notif googl classroom dont want receiv email like unsubscrib chang set,1
document share daa endsem lab,anubhav singh via googl doc,drive-shares-dm-noreply@google.com,,1
new announc dear student,neha agarw classroom,no-reply@classroom.google.com,notif set foundat machin learn 3rd year new announc dear student one group nlp project evalu come assign evalu 3 430 today see detail post 208 pm nov 24 ist neha agarw googl llc 1600 amphitheatr parkway mountain view ca 94043 usa email sent indic youd like receiv email notif googl classroom dont want receiv email like unsubscrib chang set,1
new announc dear anubhav kindli make session,neha agarw classroom,no-reply@classroom.google.com,notif set foundat machin learn 3rd year new announc dear anubhav kindli make session last assign evalu provid proper time clash project evalu nlp see detail post 142 pm nov 24 ist neha agarw googl llc 1600 amphitheatr parkway mountain view ca 94043 usa email sent indic youd like receiv email notif googl classroom dont want receiv email like unsubscrib chang set,1
new announc dear student hope seen,neha agarw classroom,no-reply@classroom.google.com,notif set nlp elect new announc dear student hope seen nlp mid sem answer sheet anyon left come till 230 stapl page use tomorrow mani page left see detail post 140 pm nov 24 ist neha agarw googl llc 1600 amphitheatr parkway mountain view ca 94043 usa email sent indic youd like receiv email notif googl classroom dont want receiv email like unsubscrib chang set,1
new announc dear student avail,neha agarw classroom,no-reply@classroom.google.com,notif set nlp elect new announc dear student avail today 3 pm 5 pm project evalu least tri 34 group see detail post 139 pm nov 24 ist neha agarw googl llc 1600 amphitheatr parkway mountain view ca 94043 usa email sent indic youd like receiv email notif googl classroom dont want receiv email like unsubscrib chang set,1
fwd regist dsciey hackathon 2023 19th dec gurugram,train placement cell iiit raichur,tnp@iiitr.ac.in,interest student request appli forward messag ey india engin campu connect enggcampusconnectineycom date fri nov 24 2023 1125 subject regist dsciey hackathon 2023 19th dec gurugram zoom get better view your read email smartphon dear placement team greet nasscom dsci ai india secur summit httpswwwdsciineventaiss2023 flagship cybersecur event india event run three day usual host minimum 1000 cyber secur leader profess repr sector ey partner dsci plan design conduct prestigi nation dsciey hackathon last 5 year ey cybersecur team plan nation dsciey hackathon 2023 cybersecur hackathon 2023 150 marqu ethic hacker particip day long event wide varieti interest challeng need solv captur flag challeng design solv particip repr currentworld threat manifest today hackathon open particip student research develop tester soccdc team redblu team product secur team cyber secur enthusiast warmli invit particip hackathon hackathon detail date 19th decemb 2023 time 0900 0600 pm ist locat leela ambienc hotel gurugram regist scan qr code fill form url dsci ey hackathon 2023 inform plea visit hackathon 2023 data secur council india dsciin look forward particip dsci ey hackthon 2023 thank regard ey india engin campu team 2023 ernst young llp right reserv inform contain commun intend sole use individu entiti address other author receiv may contain confidenti legal privileg inform intend recipi herebi notifi disclosur copi distribut take action relianc content inform strictli prohibit may unlaw receiv commun error plea notifi u immedi respond email delet system firm neither liabl proper complet transmiss inform contain commun delay receipt regard train placement cell indian institut inform technolog raichur gec transit campu yeramaru camp raichur karnataka 584135,1
new announc hello next lab set,sanidhaya sharma classroom,no-reply@classroom.google.com,notif set itp lab 2023 cse new announc hello next lab set tomorrow usual novemb 25 2023 run 1130am 1230pm syllabu includ topic cover point best see detail post 1251 pm nov 24 ist sanidhaya sharma googl llc 1600 amphitheatr parkway mountain view ca 94043 usa email sent indic youd like receiv email notif googl classroom dont want receiv email like unsubscrib chang set,0
everyday peopl shift pro side life what stop,unstop pro,noreply@dare2compete.news,unsubscrib,0
new announc daa lab time 330 pm 530 pm,anubhav singh classroom,no-reply@classroom.google.com,notif set daa lab batch 2022 3rd sem new announc daa lab time 330 pm 530 pm see detail post 917 pm nov 23 ist anubhav singh googl llc 1600 amphitheatr parkway mountain view ca 94043 usa email sent indic youd like receiv email notif googl classroom dont want receiv email like unsubscrib chang set,1
overleaf secur note secondari email address ad,overleaf,welcome@overleaf.com,overleaf secondari email address ad hi write let know secondari email address ad account cs21b1027iiitracin thursday 23 novemb 2023 1346 gmt ad shivanshukguptagmailcom ignor email recommend get touch support team supportoverleafcom report potenti suspici activ account also encourag read quick guid keep overleaf account safe overleaf httpswwwoverleafcom,0
new announc dear final,suresh chavhan classroom,no-reply@classroom.google.com,notif set comput network new announc dear final semest exam 27 novemb 2023 930 1230 pm best thank see detail post 437 pm nov 23 ist suresh chavhan googl llc 1600 amphitheatr parkway mountain view ca 94043 usa email sent indic youd like receiv email notif googl classroom dont want receiv email like unsubscrib chang set,1
new announc dear student kindli set project,neha agarw classroom,no-reply@classroom.google.com,notif set nlp elect new announc dear student kindli set project present slot day take max 4 present anubhav yugal take slot student give final sheet present complet 30 nov see detail post 215 pm nov 23 ist neha agarw googl llc 1600 amphitheatr parkway mountain view ca 94043 usa email sent indic youd like receiv email notif googl classroom dont want receiv email like unsubscrib chang set,1
final call exclu upskil program iiit raichur student,teachnook,pushkar.balayar@teachnook.com,dear student iiit raichur ug 2021 batch thrill reach share except opportun kickstart academ journey iiit raichur power advantag introduc upskil career program distinct collabor teachnook iit bhubaneswar wissenair iit bombay ecel design empow success futur inten twomonth program offer immer industri project inspir growth certif iit bhubaneswar wissenair valid achiev profess mentorship fuel career aspir readi seiz opportun enrol pave way promi career httpsdocsgooglecomformsde1faipqlsdqhjcbe18khqpkqmgpuprlrdqmilsf0eiex06qn1ty4iyr0gviewformuspsflink final call limit slot avail dont miss chanc supercharg career secur spot upskil career program gain edg competit world act regist via provid link embark journey unparallel growth learn note success regist program kindli disregard messag best regard teachnook iit bhubaneswar wissenair,0
googl hire cloud engin 20 lpa,jobsgoogl,noreply@dare2compete.news,hi shivanshu googl current look cloud engin deliv effect big data machin learn solut solv complex technic custom problem act trust technic advisor googl strateg custom also identifi new product featur featur gap provid guidanc exist product challeng collabor product manag engin influenc roadmap googl cloud platform salari inr 20 lakh via glassdoor appli regard team unstop unsubscrib,1
reschedul dbm class,,no-reply@leetcode.com,,0
clarif regard machin learn bioinformat project,,cs21b1027@iiitr.ac.in,good afternoon sir hope messag find well name shivanshu gupta current enrol ai403 machin learn bioinformat cour iiit raichur queri regard final project project guidelin state predict capabl accuraci model valid use blind dataset 10 data kept asid never use train test model context divid dataset three part 80 train 10 test 10 blind dataset train model train dataset test test dataset accuraci low adjust hyperparamet repeat process find suitabl valu final requir gener report use blind dataset anoth intend mean step regard crossvalid instruct mention cross valid atleast 3 option cross valid techniqu taken input user perform crossvalid use model highest accuraci test purpo mere measur perform model step clear would nice could tell exactli part project step entir clear would appreci could provid specif guidanc expect part project thank time assist sincer shivanshu gupta cs21b1027 iiit raichur,1
notic lab4 comput network lab exam 23112023,balachandrudu,bchandrudu@iiitr.ac.in,dear plea inform today tomorrow noon allow comput lab4 due softwar instal lab exam tomorrow23112023 8 1200pm lab exam conduct lab4 time noon allow lab thank understand cooper thank regard bala chandrudu network engin iiit raichur transit gec campu yeramarau camp karnataka584135,1
new materi practic 2,neha agarw classroom,no-reply@classroom.google.com,notif set nlp elect new materi practic 2 see detail post 424 pm nov 22 ist neha agarw googl llc 1600 amphitheatr parkway mountain view ca 94043 usa email sent indic youd like receiv email notif googl classroom dont want receiv email like unsubscrib chang set,1
welcom maxaim,maxaim team,no-reply@maxai.me,hi shivanshu welcom maxaim formerli usechatgptai everyon use maxaim free daili usag limit also offer chatgpt ai power exten fast chatgpt plu countri restrict free use highli recommend invit friend join maxaim anyon sign use referr link instal maxaim exten receiv 1 free week reward access unlimit gpt35turbo usag friend invit free week reward access may get plea note certain featur like gpt4 chatgpt16k claudeinstant100k claude2100k page summari chat web access copilot includ reward unlock premium featur upgrad account happi share maxaim team formerli usechatgptai quicktour video guid paid maxai pro member search ai make ai tool custom prompt summar chat webpag pdf pdf ai viewer gmail assist help write summari chat youtub youtub comment assist outlook assist help write xtwitter assist help write use gpt4 ai model oper maxai use chatgpt16k ai model oper maxai use claude2100k ai model oper maxai use claudeinstant100k ai model oper maxai maxai paid model unlimit gpt35turbo oper maxai make resourc enhanc experi follow u twitter latest updat tip maxaihq,0
new announc dear student check mid sem,neha agarw classroom,no-reply@classroom.google.com,notif set nlp elect new announc dear student check mid sem answer sheet 3 pm everyon kindli come one classrom anubhav yugal kindli need see detail post 1122 nov 22 ist neha agarw googl llc 1600 amphitheatr parkway mountain view ca 94043 usa email sent indic youd like receiv email notif googl classroom dont want receiv email like unsubscrib chang set,1
new announc dear student relax criterion,neha agarw classroom,no-reply@classroom.google.com,notif set nlp elect new announc dear student relax criterion attend 75 therefor final student stop end sem follow puppala koushik vivek naman vikram manikanth see detail post 1056 nov 22 ist neha agarw googl llc 1600 amphitheatr parkway mountain view ca 94043 usa email sent indic youd like receiv email notif googl classroom dont want receiv email like unsubscrib chang set,1
new announc follow student,neha agarw classroom,no-reply@classroom.google.com,notif set nlp elect new announc follow student attend le 85 kindli meet cs20b1003 saurabh bansod cs20b1008 ganesh reddi cs20b1011 nallamothu balaji cs20b1012 leela madhuri cs20b1015 puppala koushik cs20b1019 sarigala chetan vivek naman vikram manikanth see detail post 1039 nov 22 ist neha agarw googl llc 1600 amphitheatr parkway mountain view ca 94043 usa email sent indic youd like receiv email notif googl classroom dont want receiv email like unsubscrib chang set,1
new announc fml follow student,neha agarw classroom,no-reply@classroom.google.com,notif set foundat machin learn 3rd year new announc fml follow student le attendancemeet tomorrow ch vivek naman vikram pratham balaji manikanth chirag n balaji mahesh ganesh rajesh see detail post 859 pm nov 21 ist neha agarw googl llc 1600 amphitheatr parkway mountain view ca 94043 usa email sent indic youd like receiv email notif googl classroom dont want receiv email like unsubscrib chang set,1
new announc dear lab exam,suresh chavhan classroom,no-reply@classroom.google.com,notif set comput network new announc dear lab exam thursday 9 12 pm batch 1 roll 1 15 time 900 950 student present lab 845 batch 2 roll 16 31 time 1000 1050 student present lab 950 batch 3 roll 32 43 time 1100 1150 student present lab 1050 best thank see detail post 417 pm nov 21 ist suresh chavhan googl llc 1600 amphitheatr parkway mountain view ca 94043 usa email sent indic youd like receiv email notif googl classroom dont want receiv email like unsubscrib chang set,1
last 4 day left prep cat speak 99iler whove done,unstop mentorship,noreply@dare2compete.news,hi shivanshu 120 minut 2 hour import 120 minut life one take away srk famou dialogu pep talk today 4 day left prep cat time one final push book 11 session one ace cat lastminut doubt stay calm exam hall need guidanc handl notsosimpl question lastminut worri connect 11 session mentor whove ace cat found place top colleg like iim xlri bell cat sunday expert guidanc side regard team unstop unsubscrib,0
last 4 day left prep cat speak 99iler whove done,unstop mentorship,noreply@dare2compete.news,hi shivanshu 120 minut 2 hour import 120 minut life one take away srk famou dialogu pep talk today 4 day left prep cat time one final push book 11 session one ace cat lastminut doubt stay calm exam hall need guidanc handl notsosimpl question lastminut worri connect 11 session mentor whove ace cat found place top colleg like iim xlri bell cat sunday expert guidanc side regard team unstop unsubscrib,0
last 4 day left prep cat speak 99iler whove done,unstop mentorship,noreply@dare2compete.news,hi shivanshu 120 minut 2 hour import 120 minut life one take away srk famou dialogu pep talk today 4 day left prep cat time one final push book 11 session one ace cat lastminut doubt stay calm exam hall need guidanc handl notsosimpl question lastminut worri connect 11 session mentor whove ace cat found place top colleg like iim xlri bell cat sunday expert guidanc side regard team unstop unsubscrib,0
fwd groww dunzo launchx hire colleg student throught contest,placement fic,fic.placement@iiitr.ac.in,forward messag job internship updat jobsandinternshipsupdatesgmailcom date mon nov 20 2023 1014 pm subject groww dunzo launchx hire colleg student throught contest job internship updat jobsandinternshipsupdatesgmailcom greet placement team excit opportun colleg student groww dunzo launchx hire internshipjob opportun groww dunzo launchx internship stipend groww r 55000 per month dunzo r 40000 per month launchx ctc upto 7 lpa open student work profess top 100 elig perform get interview opportun via weekend code contest date novemb 25 2023 time 630 pm colleg student particip contest registr link httpsbitly47kkr18 plea share colleg student appli soon possibl opportun close disclaim associ compani list share inform student inform kindli contact compani employ via linkedin bridg gap share offcampu opportun colleg student student join commun get latest updat job internship httpslinktreejobsandinternshipsupd thank regard job internship updat team,1
fwd groww dunzo launchx hire colleg student throught contest,placement fic,fic.placement@iiitr.ac.in,forward messag job internship updat jobsandinternshipsupdatesgmailcom date mon nov 20 2023 1014 pm subject groww dunzo launchx hire colleg student throught contest job internship updat jobsandinternshipsupdatesgmailcom greet placement team excit opportun colleg student groww dunzo launchx hire internshipjob opportun groww dunzo launchx internship stipend groww r 55000 per month dunzo r 40000 per month launchx ctc upto 7 lpa open student work profess top 100 elig perform get interview opportun via weekend code contest date novemb 25 2023 time 630 pm colleg student particip contest registr link httpsbitly47kkr18 plea share colleg student appli soon possibl opportun close disclaim associ compani list share inform student inform kindli contact compani employ via linkedin bridg gap share offcampu opportun colleg student student join commun get latest updat job internship httpslinktreejobsandinternshipsupd thank regard job internship updat team,1
fwd groww dunzo launchx hire colleg student throught contest,placement fic,fic.placement@iiitr.ac.in,forward messag job internship updat jobsandinternshipsupdatesgmailcom date mon nov 20 2023 1014 pm subject groww dunzo launchx hire colleg student throught contest job internship updat jobsandinternshipsupdatesgmailcom greet placement team excit opportun colleg student groww dunzo launchx hire internshipjob opportun groww dunzo launchx internship stipend groww r 55000 per month dunzo r 40000 per month launchx ctc upto 7 lpa open student work profess top 100 elig perform get interview opportun via weekend code contest date novemb 25 2023 time 630 pm colleg student particip contest registr link httpsbitly47kkr18 plea share colleg student appli soon possibl opportun close disclaim associ compani list share inform student inform kindli contact compani employ via linkedin bridg gap share offcampu opportun colleg student student join commun get latest updat job internship httpslinktreejobsandinternshipsupd thank regard job internship updat team,1
limit time offer 30 annual subscript,leetcod,no-reply@leetcode.com,celebr thanksgiv offer 30 annual premium subscript total 129 that 1075 per month use code thanks2023 checkout get leetcod premium unlock companyspecif question accur studi access premium content includ question explor card offici editori enjoy premium featur like interview simul autocomplet debugg lightn judg get addit discount highli rate cour 20 event leetcod interview crash cour data structur algorithm leetcod interview crash cour system design interview beyond act offer end 1159pm pst monday novemb 27 invest land dream job leetcod premium best leetcod team copyright 2023 leetcod right reserv 2023 leetcod llc right reserv unsubscrib,0
limit time offer 30 annual subscript,leetcod,no-reply@leetcode.com,celebr thanksgiv offer 30 annual premium subscript total 129 that 1075 per month use code thanks2023 checkout get leetcod premium unlock companyspecif question accur studi access premium content includ question explor card offici editori enjoy premium featur like interview simul autocomplet debugg lightn judg get addit discount highli rate cour 20 event leetcod interview crash cour data structur algorithm leetcod interview crash cour system design interview beyond act offer end 1159pm pst monday novemb 27 invest land dream job leetcod premium best leetcod team copyright 2023 leetcod right reserv 2023 leetcod llc right reserv unsubscrib,0
limit time offer 30 annual subscript,leetcod,no-reply@leetcode.com,celebr thanksgiv offer 30 annual premium subscript total 129 that 1075 per month use code thanks2023 checkout get leetcod premium unlock companyspecif question accur studi access premium content includ question explor card offici editori enjoy premium featur like interview simul autocomplet debugg lightn judg get addit discount highli rate cour 20 event leetcod interview crash cour data structur algorithm leetcod interview crash cour system design interview beyond act offer end 1159pm pst monday novemb 27 invest land dream job leetcod premium best leetcod team copyright 2023 leetcod right reserv 2023 leetcod llc right reserv unsubscrib,0
limit time offer 30 annual subscript,leetcod,no-reply@leetcode.com,,0
fwd announc internship therightdoctor,train placement cell iiit raichur,tnp@iiitr.ac.in,forward messag rhea khushi recruittherightdoctorscom date sat nov 18 2023 357 pm subject announc internship therightdoctor tnpiiitracin dear team greet happi announc vacanc internship per detail cse student 1 softwar develop mean stack 2 zohodelug develop 3 busi analyst other 1 busi analyst 2 busi develop 3 busi research 4 content research 5 content manag 6 youtub market 7 facebook market 8 digit market 9 video edit stipend vari inr 5000 five thousand rupe inr 10000 ten thousand per month per senior compet perform stipend paid end six month success complet candid put outstand perform elig bonu follow offer success complet internship login expect log eight hour everyday six day week flexibl choo hour log le daytoday basi excess hour bank expect log 1248 hour internship six month longer daili login le 8 hour taken leav one month deem complet login approx 200 hour time flexibl need one stretch durat 6 month locat remot note internship durat get extend take examsemerg look googl launchpad digit health product startup launchpad googl accel startup receiv usd 200000 platform credit two tranch recent octob 2019 part surg program see live websit current content piec videofocu showca insight world best medic mind global audienc test develop app drive adher doctorpati engag three intern recognit googl launchpad berlin bootcamp startupnetworkz singapor startup substanc still prealpha phase also nasscom showca startup recap key point 1 googl launchpad digit health product startup 2 opportun work erp grade zoho one suit 45 app oper process protocoldriven mirror best industri practic get licen softwar worth inr 5000 per month apart challeng project 3 small team one layer ceo cultur innov mindset fix mistak peopl 4 part next big opportun digit health nation prioriti 5 inten livework environ team driven 6 fantast learn opportun appli smart hardwork think great 7 appli work learn eat sleep repeat credo point life 8 research learn prece implement like document everyth mantra best way learn teach other team 9 harbor entrepreneuri dream place appli 1 avail durat 6 month 2 relev skill interest look evid except abil candid hungri hardwork plea mail cv attach exampl work cover note list suitabl internship text bodi mail attach recruittherightdoctorscom cc cstherightdoctorscom aryantherightdoctorscom follow subject platform assign hr name currentpursu qualif collegespecialti warm regard jay kumar 91 9123875638 team hr therightdoctor regard train placement cell चूर indian institut inform technolog raichur जी.इ.सी . ट्रांजिट कैंपस  यरमरस कैम्प gec transit campu  yeramaru camp रायचूर  कर्नाटक – ५८४१३५ raichur  karnataka – 584135,1
fwd announc internship therightdoctor,train placement cell iiit raichur,tnp@iiitr.ac.in,forward messag rhea khushi recruittherightdoctorscom date sat nov 18 2023 357 pm subject announc internship therightdoctor tnpiiitracin dear team greet happi announc vacanc internship per detail cse student 1 softwar develop mean stack 2 zohodelug develop 3 busi analyst other 1 busi analyst 2 busi develop 3 busi research 4 content research 5 content manag 6 youtub market 7 facebook market 8 digit market 9 video edit stipend vari inr 5000 five thousand rupe inr 10000 ten thousand per month per senior compet perform stipend paid end six month success complet candid put outstand perform elig bonu follow offer success complet internship login expect log eight hour everyday six day week flexibl choo hour log le daytoday basi excess hour bank expect log 1248 hour internship six month longer daili login le 8 hour taken leav one month deem complet login approx 200 hour time flexibl need one stretch durat 6 month locat remot note internship durat get extend take examsemerg look googl launchpad digit health product startup launchpad googl accel startup receiv usd 200000 platform credit two tranch recent octob 2019 part surg program see live websit current content piec videofocu showca insight world best medic mind global audienc test develop app drive adher doctorpati engag three intern recognit googl launchpad berlin bootcamp startupnetworkz singapor startup substanc still prealpha phase also nasscom showca startup recap key point 1 googl launchpad digit health product startup 2 opportun work erp grade zoho one suit 45 app oper process protocoldriven mirror best industri practic get licen softwar worth inr 5000 per month apart challeng project 3 small team one layer ceo cultur innov mindset fix mistak peopl 4 part next big opportun digit health nation prioriti 5 inten livework environ team driven 6 fantast learn opportun appli smart hardwork think great 7 appli work learn eat sleep repeat credo point life 8 research learn prece implement like document everyth mantra best way learn teach other team 9 harbor entrepreneuri dream place appli 1 avail durat 6 month 2 relev skill interest look evid except abil candid hungri hardwork plea mail cv attach exampl work cover note list suitabl internship text bodi mail attach recruittherightdoctorscom cc cstherightdoctorscom aryantherightdoctorscom follow subject platform assign hr name currentpursu qualif collegespecialti warm regard jay kumar 91 9123875638 team hr therightdoctor regard train placement cell चूर indian institut inform technolog raichur जी.इ.सी . ट्रांजिट कैंपस  यरमरस कैम्प gec transit campu  yeramaru camp रायचूर  कर्नाटक – ५८४१३५ raichur  karnataka – 584135,1
